circuitId,circuitRef,name,location,country,lat,lng,url
19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
33,phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,http://en.wikipedia.org/wiki/Phoenix_street_circuit
37,detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,http://en.wikipedia.org/wiki/Detroit_street_circuit
42,dallas,Fair Park,Dallas,USA,32.7774,-96.7587,http://en.wikipedia.org/wiki/Fair_Park
43,long_beach,Long Beach,California,USA,33.7651,-118.189,"http://en.wikipedia.org/wiki/Long_Beach,_California"
44,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,"http://en.wikipedia.org/wiki/Las_Vegas,_Nevada"
46,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,http://en.wikipedia.org/wiki/Watkins_Glen_International
60,riverside,Riverside International Raceway,California,USA,33.937,-117.273,http://en.wikipedia.org/wiki/Riverside_International_Raceway
63,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,http://en.wikipedia.org/wiki/Sebring_Raceway
69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
72,port_imperial,Port Imperial Street Circuit,New Jersey,USA,40.7769,-74.0111,http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
